"","pN(Vert)","qC","pNHoriz","qN"
"316",0.252,0.38768637296023,0.469083223617455,0.289989406974252
"317",0.2528,0.388439051835906,0.47014929457775,0.290241659531789
"318",0.2536,0.389189882541214,0.471213224887489,0.290491328328762
"319",0.2544,0.389938871874962,0.472275018845058,0.290738422869972
"320",0.2552,0.390686026602648,0.473334680740213,0.290982952613652
"321",0.256,0.39143135345667,0.474392214854095,0.291224926971762
"322",0.2568,0.392174859136524,0.47544762545925,0.291464355310264
"323",0.2576,0.392916550309005,0.476500916819643,0.291701246949406
"324",0.2584,0.393656433608411,0.477552093190678,0.291935611163998
"325",0.2592,0.394394515636734,0.478601158819214,0.292167457183692
"326",0.26,0.395130802963859,0.479648117943582,0.292396794193256
"327",0.2608,0.395865302127762,0.480692974793604,0.292623631332842
"328",0.2616,0.3965980196347,0.481735733590607,0.292847977698263
"329",0.2624,0.397328961959404,0.482776398547443,0.293069842341256
"330",0.2632,0.398058135545269,0.483814973868502,0.293289234269754
"331",0.264,0.398785546804545,0.484851463749736,0.293506162448145
"332",0.2648,0.399511202118524,0.485885872378667,0.293720635797539
"333",0.2656,0.400235107837728,0.486918203934413,0.293932663196027
"334",0.2664,0.400957270282089,0.487948462587695,0.294142253478941
"335",0.2672,0.401677695741142,0.488976652500866,0.294349415439109
"336",0.268,0.402396390474198,0.490002777827914,0.294554157827113
"337",0.2688,0.403113360710534,0.491026842714492,0.294756489351542
"338",0.2696,0.403828612649564,0.492048851297925,0.294956418679242
"339",0.2704,0.404542152461027,0.493068807707231,0.295153954435566
"340",0.2712,0.405253986285157,0.494086716063138,0.295349105204622
"341",0.272,0.405964120232862,0.495102580478098,0.295541879529524
"342",0.2728,0.4066725603859,0.496116405056306,0.295732285912627
"343",0.2736,0.407379312797051,0.497128193893717,0.295920332815778
"344",0.2744,0.40808438349029,0.498137951078061,0.296106028660554
"345",0.2752,0.408787778460956,0.499145680688858,0.296289381828501
"346",0.276,0.409489503675928,0.500151386797438,0.296470400661372
"347",0.2768,0.410189565073785,0.501155073466956,0.296649093461361
"348",0.2776,0.410887968564982,0.502156744752408,0.296825468491343
"349",0.2784,0.41158472003201,0.503156404700647,0.296999533975098
"350",0.2792,0.412279825329564,0.504154057350401,0.29717129809755
"351",0.28,0.412973290284708,0.505149706732288,0.29734076900499
"352",0.2808,0.413665120697035,0.506143356868831,0.297507954805307
