"","SC","IC","SN","IN"
"290",3.35,3.76,71.41,671.48
"291",3.49,3.71,71.62,671.18
"292",3.49,3.76,71.72,671.03
"293",3.58,3.69,72.06,670.67
"294",3.74,3.7,72.02,670.54
"295",3.79,3.72,72.07,670.42
"296",3.92,3.75,71.86,670.47
"297",4.01,3.8,72.1,670.09
"298",4.04,3.9,71.29,670.77
"299",4.06,3.92,71.07,670.95
"300",4.06,4.04,70.98,670.92
