"","rep.NA..length.out_f...1...","rep.NA..length.out_f...1....1","rep.NA..length.out_f...1....2"
"1342",0.843360000062508,0.882935627256398,0.88954918032777
"1343",0.843445973319278,0.882955209502055,0.88954918032777
"1344",0.843531751875051,0.882974731181772,0.889549180327769
"1345",0.843617336287242,0.882994192497947,0.889549180327769
"1346",0.843702727111281,0.883013593652208,0.889549180327769
"1347",0.843787924900618,0.883032934845428,0.889549180327768
"1348",0.843872930206737,0.88305221627772,0.889549180327768
"1349",0.843957743579161,0.883071438148444,0.889549180327767
"1350",0.84404236556546,0.883090600656209,0.889549180327767
"1351",0.84412679671126,0.883109703998879,0.889549180327766
"1352",0.844211037560255,0.88312874837357,0.889549180327766
"1353",0.844295088654206,0.883147733976663,0.889549180327766
"1354",0.844378950532958,0.883166661003797,0.889549180327766
"1355",0.844462623734443,0.883185529649879,0.889549180327765
"1356",0.844546108794691,0.883204340109086,0.889549180327765
"1357",0.844629406247839,0.883223092574865,0.889549180327764
"1358",0.844712516626134,0.883241787239942,0.889549180327764
"1359",0.844795440459942,0.883260424296319,0.889549180327764
"1360",0.84487817827776,0.88327900393528,0.889549180327763
"1361",0.844960730606222,0.883297526347396,0.889549180327763
"1362",0.845043097970104,0.883315991722525,0.889549180327763
"1363",0.845125280892335,0.883334400249815,0.889549180327762
"1364",0.845207279894004,0.883352752117712,0.889549180327763
"1365",0.845289095494366,0.883371047513957,0.889549180327763
"1366",0.845370728210853,0.88338928662559,0.889549180327763
"1367",0.845452178559079,0.883407469638959,0.889549180327763
"1368",0.845533447052847,0.883425596739714,0.889549180327763
"1369",0.84561453420416,0.883443668112818,0.889549180327764
"1370",0.845695440523224,0.883461683942546,0.889549180327764
"1371",0.845776166518459,0.883479644412487,0.889549180327764
"1372",0.845856712696507,0.88349754970555,0.889549180327765
"1373",0.845937079562236,0.883515400003964,0.889549180327765
"1374",0.846017267618751,0.883533195489286,0.889549180327765
"1375",0.846097277367396,0.883550936342397,0.889549180327765
