"","Control","Infection"
"133",9.18047556748741e-37,0.94949495018567
"134",9.03012124830561e-37,0.94987468724947
"135",8.83066028815776e-37,0.950248756665774
"136",6.77994840072381e-37,0.950617282850222
"137",8.46588894029448e-37,0.95098039430169
"138",8.82279509773801e-37,0.95133819936367
"139",8.4862637412182e-37,0.951690822260818
"140",8.95329076415235e-37,0.952038370827296
"141",6.00997034732479e-37,0.952380955373347
"142",8.48788169137041e-37,0.952718676177115
"143",7.20012133127925e-37,0.95305164357754
"144",8.26339650487472e-37,0.953379952736559
"145",7.06647921529328e-37,0.9537037021838
"146",6.82730076331218e-37,0.95402298805974
"147",8.22162921615595e-37,0.954337900240961
"148",6.94713345755756e-37,0.954648527171289
"149",6.8972963765632e-37,0.954954955176462
"150",5.66857260839493e-37,0.955257267207493
