"","zC_0.05","zC_0.25","zC_0.5","zC_0.75","zC_0.9","zN_0.05","zN_0.25","zN_0.5","zN_0.75","zN_0.9"
"598",0.679401252024147,0.592647993876216,0.450484551401389,0.258706907762786,0.112852197210855,0,0,0,0,0
"599",0.679099325716538,0.592345160587449,0.45021223825713,0.258523256101131,0.112764289168987,0,0,0,0,0
"600",0.678797666548099,0.592042655139523,0.4499402872263,0.258339894039258,0.11267653278124,0,0,0,0,0
"601",0.678496274297429,0.591740477083445,0.449668697620277,0.258156820898296,0.112588927655943,0,0,0,0,0
"602",0.6781951487428,0.591438625970715,0.449397468752056,0.257974036001473,0.112501473402769,0,0,0,0,0
"603",0.67789428966216,0.591137101353321,0.44912659993625,0.257791538674107,0.112414169632735,0,0,0,0,0
"604",0.677593696833138,0.590835902783746,0.448856090489086,0.257609328243603,0.112327015958188,0,0,0,0,0
"605",0.677293370033047,0.590535029814961,0.448585939728395,0.25742740403944,0.112240011992806,0,0,0,0,0
"606",0.676993309038893,0.590234482000436,0.448316146973613,0.257245765393164,0.112153157351592,0,0,0,0,0
"607",0.676693513627371,0.589934258894132,0.448046711545777,0.257064411638382,0.112066451650861,0,0,0,0,0
"608",0.676393983574877,0.589634360050509,0.447777632767517,0.256883342110754,0.111979894508247,0,0,0,0,0
"609",0.676094718657506,0.589334785024525,0.447508909963056,0.256702556147982,0.111893485542685,0,0,0,0,0
"610",0.675795718651062,0.589035533371633,0.447240542458204,0.256522053089807,0.111807224374412,0,0,0,0,0
"611",0.675496983331056,0.588736604647792,0.446972529580354,0.256341832277997,0.11172111062496,0,0,0,0,0
"612",0.675198512472714,0.588437998409456,0.446704870658478,0.256161893056344,0.111635143917152,0,0,0,0,0
"613",0.67490030585098,0.588139714213586,0.446437565023122,0.255982234770649,0.111549323875095,0,0,0,0,0
"614",0.674602363240521,0.587841751617641,0.446170612006406,0.255802856768722,0.111463650124171,0,0,0,0,0
"615",0.674304684415726,0.587544110179588,0.445904010942014,0.255623758400373,0.111378122291041,0,0,0,0,0
"616",0.674007269150717,0.587246789457898,0.445637761165193,0.255444939017398,0.111292740003629,0,0,0,0,0
"617",0.673710117219351,0.586949789011549,0.445371862012751,0.255266397973578,0.111207502891125,0,0,0,0,0
"618",0.673413228395217,0.586653108400024,0.445106312823049,0.255088134624672,0.111122410583974,0,0,0,0,0
"619",0.67311660245165,0.586356747183316,0.444841112936,0.254910148328405,0.111037462713875,0,0,0,0,0
"620",0.672820239161728,0.586060704921928,0.444576261693063,0.254732438444462,0.110952658913769,0,0,0,0,0
"621",0.672524138298278,0.585764981176871,0.44431175843724,0.254555004334485,0.110867998817844,0,0,0,0,0
"622",0.672228299633882,0.585469575509667,0.444047602513073,0.254377845362058,0.110783482061521,0,0,0,0,0
"623",0.671932722940873,0.585174487482353,0.443783793266636,0.254200960892705,0.110699108281451,0,0,0,0,0
"624",0.67163740799135,0.584879716657475,0.443520330045538,0.254024350293884,0.110614877115514,0,0,0,0,0
"625",0.671342354557171,0.584585262598095,0.443257212198911,0.253848012934973,0.110530788202806,0,0,0,0,0
"626",0.671047562409964,0.584291124867789,0.442994439077414,0.253671948187269,0.110446841183643,0,0,0,0,0
"627",0.670753031321127,0.583997303030649,0.442732010033221,0.25349615542398,0.110363035699548,0,0,0,0,0
"628",0.670458761061832,0.583703796651282,0.442469924420024,0.253320634020214,0.11027937139325,0,0,0,0,0
"629",0.670164751403032,0.583410605294814,0.442208181593027,0.253145383352976,0.110195847908679,0,0,0,0,0
"630",0.669871002115457,0.583117728526887,0.441946780908938,0.252970402801159,0.110112464890959,0,0,0,0,0
"631",0.669577512969626,0.582825165913664,0.441685721725971,0.252795691745538,0.110029221986405,0,0,0,0,0
"632",0.669284283735844,0.582532917021827,0.441425003403838,0.25262124956876,0.109946118842516,0,0,0,0,0
"633",0.668991314184211,0.582240981418575,0.44116462530375,0.252447075655342,0.109863155107973,0,0,0,0,0
"634",0.66869860408462,0.581949358671633,0.440904586788405,0.252273169391659,0.109780330432631,0,0,0,0,0
"635",0.668406153206765,0.581658048349244,0.440644887221992,0.25209953016594,0.109697644467514,0,0,0,0,0
"636",0.66811396132014,0.581367050020176,0.440385525970184,0.251926157368261,0.109615096864813,0,0,0,0,0
"637",0.667822028194047,0.581076363253719,0.440126502400133,0.251753050390537,0.109532687277882,0,0,0,0,0
"638",0.667530353597597,0.580785987619687,0.439867815880469,0.251580208626515,0.109450415361226,0,0,0,0,0
"639",0.667238937299713,0.580495922688419,0.439609465781294,0.251407631471769,0.109368280770502,0,0,0,0,0
"640",0.666947779069132,0.580206168030778,0.439351451474177,0.251235318323692,0.109286283162517,0,0,0,0,0
"641",0.666656878674413,0.579916723218156,0.439093772332155,0.251063268581488,0.109204422195216,0,0,0,0,0
"642",0.666366235883936,0.579627587822468,0.438836427729723,0.250891481646166,0.109122697527681,0,0,0,0,0
"643",0.666075850465906,0.579338761416159,0.438579417042837,0.250719956920536,0.109041108820127,0,0,0,0,0
"644",0.665785722188357,0.5790502435722,0.438322739648903,0.2505486938092,0.108959655733895,0,0,0,0,0
"645",0.665495850819157,0.578762033864091,0.438066394926779,0.250377691718542,0.108878337931448,0,0,0,0,0
"646",0.665206236126005,0.578474131865861,0.437810382256769,0.25020695005673,0.108797155076372,0,0,0,0,0
"647",0.664916877876442,0.57818653715207,0.437554701020618,0.2500364682337,0.108716106833359,0,0,0,0,0
"648",0.664627775837849,0.577899249297805,0.43729935060151,0.249866245661156,0.108635192868215,0,0,0,0,0
"649",0.664338929777451,0.577612267878688,0.437044330384067,0.24969628175256,0.108554412847848,0,0,0,0,0
"650",0.664050339462322,0.577325592470867,0.436789639754335,0.249526575923128,0.108473766440267,0,0,0,0,0
"651",0.663762004659384,0.577039222651027,0.436535278099795,0.249357127589821,0.108393253314574,0,0,0,0,0
"652",0.663473925135415,0.576753157996382,0.436281244809346,0.249187936171339,0.108312873140964,0,0,0,0,0
"653",0.66318610065705,0.57646739808468,0.436027539273312,0.249019001088118,0.108232625590716,0,0,0,0,0
"654",0.662898530990782,0.576181942494201,0.435774160883428,0.248850321762319,0.108152510336192,0,0,0,0,0
"655",0.662611215902968,0.575896790803762,0.435521109032846,0.248681897617823,0.108072527050832,0,0,0,0,0
"656",0.662324155159828,0.57561194259271,0.435268383116123,0.248513728080228,0.107992675409145,0,0,0,0,0
"657",0.662037348527454,0.57532739744093,0.435015982529224,0.248345812576837,0.107912955086712,0,0,0,0,0
"658",0.661750795771806,0.57504315492884,0.434763906669516,0.248178150536656,0.107833365760179,0,0,0,0,0
"659",0.661464496658723,0.574759214637396,0.434512154935763,0.248010741390386,0.107753907107247,0,0,0,0,0
"660",0.661178450953915,0.574475576148086,0.434260726728121,0.247843584570418,0.107674578806676,0,0,0,0,0
"661",0.660892658422978,0.57419223904294,0.434009621448141,0.247676679510824,0.107595380538275,0,0,0,0,0
"662",0.660607118831386,0.573909202904519,0.433758838498757,0.247510025647356,0.107516311982902,0,0,0,0,0
"663",0.660321831944501,0.573626467315924,0.43350837728429,0.247343622417434,0.107437372822456,0,0,0,0,0
"664",0.660036797527574,0.573344031860795,0.433258237210438,0.247177469260144,0.107358562739875,0,0,0,0,0
