,time,S_C,I_C,S_N,I_N
143,213,65.9722919,0.619435452,669.6108058,13.79746683
144,214.5,65.91871422,0.623950276,669.5981779,13.85915761
145,216,65.86528411,0.628471304,669.5851047,13.92113991
146,217.5,65.81200177,0.63299862,669.5715847,13.98341489
147,219,65.75886738,0.637532313,669.5576166,14.04598374
148,220.5,65.70588117,0.642072468,669.5431987,14.10884764
149,222,65.65304332,0.646619173,669.5283297,14.17200778
150,223.5,65.60035404,0.651172513,669.5130081,14.23546533
151,225,65.54781354,0.655732576,669.4972324,14.29922149
152,226.5,65.49542202,0.660299449,669.4810011,14.36327747
153,228,65.44317969,0.664873219,669.4643126,14.42763447
154,229.5,65.39108676,0.669453973,669.4471656,14.49229368
155,231,65.33914343,0.674041799,669.4295584,14.55725633
156,232.5,65.28734992,0.678636784,669.4114897,14.62252363
157,234,65.23570643,0.683239015,669.3929578,14.68809679
158,235.5,65.18421319,0.687848582,669.3739612,14.75397705
159,237,65.13287039,0.692465571,669.3544984,14.82016563
160,238.5,65.08167827,0.697090071,669.3345679,14.88666377
161,240,65.03063702,0.701722169,669.3141681,14.9534727
162,241.5,64.97974688,0.706361955,669.2932975,15.02059366
163,243,64.92900805,0.711009517,669.2719545,15.08802791
164,244.5,64.87842076,0.715664943,669.2501376,15.15577669
165,246,64.82798523,0.720328322,669.2278452,15.22384126
166,247.5,64.77770167,0.724999744,669.2050757,15.29222288
167,249,64.72757031,0.729679296,669.1818276,15.36092281
168,250.5,64.67759137,0.73436707,669.1580992,15.42994233
169,252,64.62776508,0.739063153,669.1338891,15.4992827
170,253.5,64.57809166,0.743767636,669.1091955,15.56894521
171,255,64.52857135,0.748480609,669.0840169,15.63893114
172,256.5,64.47920435,0.75320216,669.0583517,15.70924177
173,258,64.42999091,0.757932382,669.0321983,15.7798784
174,259.5,64.38093126,0.762671363,669.0055551,15.85084232
175,261,64.33202562,0.767419194,668.9784204,15.92213483
176,262.5,64.28327423,0.772175966,668.9507926,15.99375724
177,264,64.23467732,0.77694177,668.9226701,16.06571086
178,265.5,64.18623512,0.781716696,668.8940512,16.137997
179,267,64.13794788,0.786500837,668.8649343,16.21061698
180,268.5,64.08981582,0.791294283,668.8353178,16.28357213
181,270,64.04183918,0.796097125,668.8051999,16.35686376
182,271.5,63.99401821,0.800909457,668.7745791,16.43049322
183,273,63.94635314,0.805731368,668.7434537,16.50446184
184,274.5,63.89884421,0.810562953,668.7118219,16.57877096
185,276,63.85149167,0.815404303,668.6796821,16.65342193
186,277.5,63.80429575,0.820255511,668.6470326,16.7284161
187,279,63.75725671,0.825116669,668.6138718,16.80375482
188,280.5,63.71037478,0.829987871,668.5801979,16.87943945
189,282,63.66365021,0.83486921,668.5460092,16.95547135
190,283.5,63.61708326,0.839760778,668.5113041,17.0318519
191,285,63.57067416,0.844662671,668.4760807,17.10858247
192,286.5,63.52442317,0.849574981,668.4403374,17.18566443
193,288,63.47833054,0.854497803,668.4040725,17.26309917
194,289.5,63.43239652,0.859431232,668.3672842,17.34088807
195,291,63.38662137,0.864375361,668.3299708,17.41903252
196,292.5,63.34100533,0.869330285,668.2921305,17.49753392
197,294,63.29554866,0.8742961,668.2537616,17.57639368
198,295.5,63.25025162,0.8792729,668.2148623,17.65561319
199,297,63.20511446,0.884260782,668.1754309,17.73519386
200,298.5,63.16013745,0.889259841,668.1354656,17.81513711
201,300,63.11532084,0.894270172,668.0949646,17.89544435
202,301.5,63.07066489,0.899291873,668.0539262,17.97611702
203,303,63.02616986,0.904325039,668.0123486,18.05715653
204,304.5,62.98183602,0.909369768,667.9702299,18.13856432
205,306,62.93766364,0.914426156,667.9275684,18.22034182
206,307.5,62.89365296,0.9194943,667.8843623,18.30249048
207,309,62.84980427,0.924574299,667.8406097,18.38501174
208,310.5,62.80611782,0.929666249,667.7963089,18.46790705
209,312,62.76259389,0.934770249,667.751458,18.55117787
210,313.5,62.71923274,0.939886398,667.7060552,18.63482565
211,315,62.67603465,0.945014793,667.6600987,18.71885186
212,316.5,62.63299988,0.950155534,667.6135866,18.80325796
213,318,62.59012871,0.955308719,667.5665171,18.88804544
214,319.5,62.54742141,0.960474449,667.5188884,18.97321576
215,321,62.50487826,0.965652823,667.4706985,19.05877041
216,322.5,62.46249952,0.97084394,667.4219457,19.14471087
217,324,62.42028548,0.976047902,667.372628,19.23103864
218,325.5,62.37823642,0.981264809,667.3227436,19.3177552
219,327,62.3363526,0.986494761,667.2722906,19.40486207
220,328.5,62.29463432,0.99173786,667.2212671,19.49236074
221,330,62.25308185,0.996994207,667.1696712,19.58025272
222,331.5,62.21169548,1.002263904,667.1175011,19.66853953
223,333,62.17047548,1.007547054,667.0647548,19.75722268
224,334.5,62.12942215,1.012843758,667.0114304,19.8463037
225,336,62.08853576,1.018154119,666.957526,19.93578411
226,337.5,62.0478166,1.02347824,666.9030397,20.02566544
227,339,62.00726496,1.028816226,666.8479696,20.11594923
228,340.5,61.96688113,1.034168178,666.7923137,20.20663702
229,342,61.92666539,1.039534202,666.7360701,20.29773035
230,343.5,61.88661804,1.044914401,666.6792368,20.38923077
231,345,61.84673936,1.050308881,666.6218119,20.48113984
232,346.5,61.80702965,1.055717746,666.5637935,20.57345911
233,348,61.76748921,1.061141101,666.5051795,20.66619014
234,349.5,61.72811832,1.066579053,666.4459681,20.75933451
235,351,61.68891728,1.072031707,666.3861572,20.85289378
236,352.5,61.64988639,1.07749917,666.3257449,20.94686952
237,354,61.61102594,1.082981548,666.2647292,21.04126333
238,355.5,61.57233624,1.088478949,666.203108,21.13607677
239,357,61.53381758,1.09399148,666.1408795,21.23131145
240,358.5,61.49547026,1.099519248,666.0780416,21.32696895
241,360,61.45729458,1.105062363,666.0145922,21.42305086
242,361.5,61.41929085,1.110620931,665.9505294,21.5195588
243,363,61.38145937,1.116195063,665.8858512,21.61649437
244,364.5,61.34380044,1.121784868,665.8205555,21.71385918
245,366,61.30631437,1.127390454,665.7546403,21.81165484
246,367.5,61.26900146,1.133011933,665.6881036,21.90988297
247,369,61.23186203,1.138649414,665.6209434,22.0085452
248,370.5,61.19489638,1.144303009,665.5531575,22.10764315
249,372,61.15810481,1.149972828,665.4847439,22.20717846
250,373.5,61.12148765,1.155658984,665.4157006,22.30715276
251,375,61.08504519,1.161361587,665.3460255,22.40756769
252,376.5,61.04877776,1.167080751,665.2757166,22.50842489
253,378,61.01268567,1.172816588,665.2047717,22.60972602
254,379.5,60.97676922,1.178569212,665.1331888,22.71147273
255,381,60.94102874,1.184338735,665.0609659,22.81366667
256,382.5,60.90546454,1.190125273,664.9881007,22.91630952
257,384,60.87007693,1.195928938,664.9145912,23.01940292
258,385.5,60.83486624,1.201749847,664.8404353,23.12294856
259,387,60.79983279,1.207588115,664.765631,23.22694811
