"","Control","Infection","IC","IN"
"129",0.462717929117302,0.716331172490638,0.273065882527227,0.443265289963411
"130",0.462847846351715,0.716279464138618,0.273134469615448,0.44314499452317
"131",0.462978934716005,0.716227289665262,0.273203669680702,0.443023619984561
"132",0.463111201695585,0.716174646091302,0.273273486530706,0.442901159560595
"133",0.463244654815019,0.716121530421872,0.273343923991294,0.442777606430578
"134",0.463379301638324,0.716067939646439,0.273414985906537,0.442652953739902
"135",0.463515149769216,0.716013870738626,0.273486676138833,0.442527194599793
"136",0.463652206851428,0.715959320656155,0.273558998569043,0.442400322087112
"137",0.46379048056898,0.71590428634071,0.27363195709659,0.44227232924412
"138",0.463929978646471,0.715848764717822,0.273705555639577,0.442143209078245
"139",0.464070708849364,0.715792752696752,0.273779798134897,0.442012954561856
"140",0.464212678984306,0.715736247170409,0.273854688538365,0.441881558632045
"141",0.464355896899378,0.715679245015164,0.273930230824802,0.441749014190362
"142",0.464500370484412,0.715621743090766,0.274006428988166,0.441615314102601
"143",0.464646107671319,0.715563738240272,0.27408328704169,0.441480451198582
"144",0.464793116434329,0.71550522728981,0.274160809017947,0.441344418271863
"145",0.464941404790369,0.715446207048608,0.274238998969035,0.441207208079573
"146",0.465090980799298,0.715386674308733,0.274317860966631,0.441068813342102
"147",0.465241852564269,0.715326625845073,0.274397399102159,0.440929226742914
"148",0.465394028231993,0.715266058415125,0.274477617486866,0.44078844092826
"149",0.465547515993097,0.715204968758958,0.274558520251981,0.440646448506977
"150",0.465702324082401,0.715143353599025,0.274640111548813,0.440503242050212
"151",0.465858460779272,0.715081209640099,0.274722395548889,0.440358814091209
"152",0.466015934407867,0.715018533569011,0.274805376444023,0.440213157124989
"153",0.466174753337552,0.714955322054711,0.274889058446515,0.440066263608197
"154",0.466334925983166,0.71489157174802,0.274973445789226,0.439918125958795
"155",0.466496460805321,0.714827279281469,0.27505854272568,0.43976873655579
"156",0.466659366310815,0.714762441269317,0.275144353530258,0.439618087739059
"157",0.466823651052892,0.714697054307309,0.275230882498269,0.43946617180904
"158",0.466989323631568,0.714631114972518,0.275318133946059,0.439312981026459
"159",0.467156392693989,0.714564619823278,0.275406112211169,0.439158507612109
"160",0.467324866934796,0.714497565399095,0.275494821652477,0.439002743746619
"161",0.467494755096362,0.714429948220338,0.27558426665024,0.438845681570098
"162",0.46766606596927,0.714361764788354,0.275674451606342,0.438687313182012
"163",0.467838808392508,0.714293011585072,0.275765380944287,0.438527630640784
"164",0.468012991253925,0.714223685073073,0.275857059109432,0.438366625963641
"165",0.468188623490508,0.714153781695331,0.275949490569045,0.438204291126286
"166",0.468365714088748,0.714083297875112,0.276042679812457,0.438040618062655
"167",0.468544272085026,0.714012230015903,0.276136631351217,0.437875598664687
"168",0.468724306565887,0.713940574501134,0.276231349719149,0.437709224781984
"169",0.468905826668451,0.713868327694153,0.276326839472541,0.437541488221612
"170",0.469088841580728,0.713795485938008,0.276423105190228,0.437372380747781
"171",0.469273360542024,0.713722045555399,0.276520151473765,0.437201894081634
"172",0.469459392843254,0.713648002848461,0.276617982947524,0.437030019900937
"173",0.469646947827291,0.713573354098595,0.2767166042588,0.436856749839795
"174",0.469836034889373,0.713498095566418,0.276816020077989,0.436682075488429
"175",0.470026663477441,0.713422223491567,0.27691623509869,0.436505988392878
"176",0.470218843092491,0.713345734092535,0.277017254037819,0.436328480054716
"177",0.470412583288958,0.713268623566564,0.277119081635761,0.436149541930803
"178",0.470607893675095,0.713190888089508,0.277221722656497,0.435969165433011
"179",0.470804783913284,0.713112523815593,0.277325181887689,0.435787341927903
"180",0.471003263720493,0.713033526877421,0.277429464140881,0.43560406273654
"181",0.471203342868549,0.712953893385646,0.277534574251535,0.435419319134111
"182",0.47140503118462,0.712873619429009,0.277640517079258,0.435233102349752
"183",0.471608338551502,0.712792701074052,0.27774729750785,0.435045403566202
"184",0.471813274908,0.712711134364954,0.277854920445435,0.434856213919519
"185",0.47201985024943,0.712628915323617,0.277963390824695,0.434665524498922
"186",0.472228074627789,0.712546039949134,0.278072713602814,0.43447332634632
"187",0.472437958152325,0.712462504217979,0.278182893761769,0.43427961045621
"188",0.472649510989817,0.712378304083669,0.278293936308366,0.434084367775303
"189",0.472862743364962,0.712293435476626,0.278405846274371,0.433887589202255
"190",0.473077665560833,0.712207894304143,0.278518628716696,0.433689265587447
"191",0.47329428791918,0.712121676450089,0.27863228871745,0.433489387732639
"192",0.473512620840848,0.712034777774808,0.278746831384092,0.433287946390716
"193",0.473732674786169,0.711947194114973,0.278862261849557,0.433084932265416
"194",0.473954460275359,0.711858921283437,0.278978585272383,0.432880336011053
"195",0.474177987888911,0.711769955069098,0.279095806836844,0.432674148232254
"196",0.474403268267946,0.711680291236661,0.279213931753028,0.432466359483633
"197",0.474630312114621,0.711589925526511,0.279332965256975,0.432256960269536
"198",0.474859130192592,0.711498853654689,0.279452912610863,0.432045941043827
"199",0.475089733327295,0.711407071312528,0.279573779103023,0.431833292209505
"200",0.475322132406396,0.711314574166599,0.279695570048112,0.431619004118487
"201",0.475556338380224,0.711221357858621,0.279818290787261,0.43140306707136
"202",0.475792362262069,0.71112741800513,0.279941946688108,0.431185471317022
