"","S_C_avg_no_extinct_0125.sd","I_C_avg_no_extinct_0125.sd","S_N_avg_no_extinct_0125.sd","I_N_avg_no_extinct_0125.sd"
"81",34.1293995588039,24.752991236195,111.863877582591,58.5717734829531
"82",34.0228499496614,25.5530216628048,112.240548068859,58.2290117618414
"83",33.9176339931253,26.5085486963898,112.478300891821,57.5339556288189
"84",33.9912984366348,27.0027484342903,112.498455519758,57.6288228264897
"85",34.2934004131182,27.8587745109898,113.328589518384,57.6316665370485
"86",34.1916729764375,28.4102633441846,112.89361567472,57.2408701274341
"87",34.2531711836565,29.0592269759309,112.871110794705,56.9886085533272
"88",34.154405239115,29.5227900955128,112.774223835679,56.4932137459035
"89",33.5596000161914,30.5539288560828,112.474688510596,55.8151268555381
"90",33.2130855188204,31.2020499989881,112.252689296874,55.6574468644195
"91",32.921847951814,31.8140501484497,111.602361975523,54.9276467927513
"92",32.5597432267827,32.3514730848638,110.210964095616,53.5268559161395
"93",32.4594064867214,32.6531215212801,109.542284344308,52.9938989810192
"94",32.541105096839,33.6607543318512,108.66907775495,51.8451820567189
"95",32.1971002943985,33.8921130157936,107.617612908492,50.8281144355036
"96",31.6095471566612,34.221967554276,106.184619254938,49.5822332707205
"97",30.888572257453,34.6222331909367,104.778324175703,48.7918308128658
"98",30.3945843292032,34.8534287047312,103.406034034117,47.9877458074548
"99",29.8206070429738,35.4427455005503,102.004984700412,47.0543662021369
"100",29.3050652289423,35.9677499331062,101.270718375697,46.702682894767
"101",29.0648022414425,35.6080092625888,99.4195097544257,45.1585333623225
"102",28.5479773887225,36.1905644792726,97.859602248405,43.6407321475092
"103",28.4539793787457,36.3381471169005,96.4776017725605,42.9453949454564
"104",27.9346241821932,37.0232033190444,95.1686305110773,42.0398280790796
"105",27.3297394201225,37.2016711620601,92.8948674617824,40.518244005627
"106",27.1192994146625,37.3538656102091,91.6211547219247,39.4817175332767
"107",26.9788888048814,36.9704289392952,90.1112565041285,38.9527090662416
"108",26.5416480385438,37.2785483485594,88.2681875503048,37.7500568258182
"109",25.4836336580085,37.7029941774435,87.1314850763487,37.8935244061461
"110",25.02623649061,38.0244228170661,85.4213440504038,36.8059646694726
"111",24.3145020787568,38.0315268105277,83.9287841942592,36.1734324186382
"112",23.6888065282104,38.2269853882547,82.3495511056721,35.3579394141182
"113",23.4626375708503,38.33644148621,80.4992820171538,34.5804908638061
"114",22.8466290754526,37.9872820996622,78.7569134240289,33.8041700535249
"115",22.4658103920108,37.8588934769073,77.3046403597499,32.8199519740328
"116",22.017154721735,37.7499612628316,75.4375910147975,31.4990355301888
"117",21.2417396364547,38.2096307396656,73.4184739352882,30.5757808664417
"118",21.8573031900485,38.7170518119614,71.4913548031176,29.2331418453099
"119",21.7623262910665,38.4588410801121,69.8660540768227,28.4555768097748
"120",20.7792086038925,38.2235339647296,67.6246186961771,27.1887778940595
"121",20.3982155718526,37.5808206236459,66.3639959834717,26.8480150894714
"122",20.0986948464064,37.3962083187488,64.8577785374827,26.3114639546338
"123",20.2601255189625,36.8977286972222,62.7600407661242,25.4963993157147
"124",19.773115268077,36.9873367489113,61.4569114800464,25.9155901102149
"125",19.5418773962659,36.6317734686468,59.6641030671307,25.1408647380587
"126",19.345458207206,36.3239649090809,57.8741000928249,25.0439728717426
"127",19.5439395749279,36.3240954367353,56.0952142085368,24.5521460297266
"128",19.6893363259324,36.5417419869629,54.4119516501179,23.9943948309269
"129",19.6372063234896,35.7477880381239,52.5434374788949,23.1139969338246
"130",19.3651083433653,35.0486042351651,51.230736206916,23.1848664735248
"131",19.2406881798093,34.5406139129371,50.3133778689013,23.1942582051658
"132",19.178054480445,34.1576914769368,48.7345618007863,21.701983490102
"133",18.5929944714059,33.3813012931725,46.3984140041288,20.3506825018999
"134",18.2529524781684,32.884303975436,45.2035479842097,19.7335685857377
"135",17.0231813525008,32.2644773019481,43.9862729472754,20.3621560369854
"136",16.9033107114443,31.4982403725624,42.5831937024434,19.9410748117163
"137",17.0861676910212,30.4259630747318,40.7821034633361,19.4565306843453
"138",16.4681623461002,29.7754670397557,39.0099649511718,19.2227339983324
"139",15.9668022944547,28.9098393024433,38.0614866719203,19.9912679350459
"140",15.5676418870329,28.9684749640703,37.3103808983346,19.6821265608555
"141",15.7174140923815,28.5287921411832,36.4429589899942,19.8412271283812
"142",15.6024024388404,28.3119093945324,35.3521408271066,19.4277119748788
"143",15.991636135926,27.8391920555595,34.2995102114027,19.2602097403272
"144",15.805311596581,27.8240488664132,32.9471319293599,19.3398470676764
"145",15.4861839196531,27.763761048185,31.4386872084547,19.205208485796
"146",15.1864723516057,26.3855427578331,30.0904258029885,19.4435102994387
"147",15.3506328696596,25.8410655334397,28.712706266282,19.4940698423587
"148",14.7250902485616,25.4720108235444,27.9285133024937,18.360344412875
"149",14.4796219446314,25.3199969778709,27.0024048953027,18.0457571370489
"150",13.1382293125905,24.9269433472742,26.2382405853879,16.7188607593859
"151",13.3212066065558,24.8582997193103,25.7600282582293,16.9342344142529
"152",13.6939182573025,24.1662454913931,25.0174006646013,16.6671428503403
"153",13.1564331664461,23.5698543354679,23.7200917804153,16.5340487506555
"154",13.0859156112228,23.1710764479324,22.6641655282733,16.2018485651628
"155",13.6002276649187,22.4172681327121,22.0045534164526,16.2570632255852
"156",13.7276119717644,21.8464025899563,21.2641212614111,16.6533156172339
"157",13.7928470732292,21.9964999745806,20.6604365497215,16.5220441438772
"158",14.2202033263506,22.5161294943127,20.0448528183773,16.7226333047898
"159",14.4296286384215,21.5815367695203,19.1802793744804,16.1873309906579
"160",15.0957228813138,21.6682269549034,18.4510640502011,16.6546276865207
"161",15.1976736602537,21.0526966902182,18.192748209236,16.6502145143088
"162",14.8064681359219,20.4202598658052,17.5266443218108,16.1130053834189
"163",14.3490227803707,21.001015966236,16.7623966869964,16.5389727948579
"164",14.7705881457129,21.1431837656609,16.0906586891946,16.5491341297746
"165",14.4463051621717,20.487674218604,15.3394559043587,16.3797379495465
"166",14.9896686746533,20.5293581354738,14.5948373213903,16.6073837435399
"167",15.1686934159275,19.9650178498491,13.9342479275389,16.6260296178442
"168",14.464915009559,19.583027076909,13.7820595683361,17.2142333230748
"169",14.4052430959663,19.1929037167865,13.1789766554701,17.6917011455897
"170",14.4532884458018,18.4821920899164,12.5658192916834,17.3080246705477
"171",14.3412628538511,17.8681524502439,12.1835918060748,17.3904972902107
"172",13.3575769080111,17.2128501374304,12.0235373506549,17.614443062767
"173",13.8874647795966,16.8942348784861,11.4005428304761,17.2855413631888
"174",14.5461824699324,16.8834876194171,11.2502319085559,17.7162755480657
"175",14.2509172166992,16.9377581760547,10.9489454427346,18.0235936441634
"176",14.3396025466409,16.8627977405786,11.0014429068075,18.2616578320223
"177",13.2898331836121,16.639829970747,10.907304189559,17.8902607759881
"178",13.1195523979538,16.5628056383043,10.9036465147252,17.8295949127174
"179",13.2335085018526,16.4800686074709,10.6199308544999,17.5349872594782
"180",13.2660796121003,16.9272151355413,10.5144127603843,16.8409563493487
"181",13.6832712077996,16.8056174409521,10.4942877925533,17.2267667446848
"182",13.6819453940972,16.6930712299205,10.3164324052278,17.4972035931661
"183",13.9044431559267,16.6707045201486,9.93587977305301,17.780777550459
